time_increment,victory_status,game_count
40+8,draw,1
4+18,resign,1
11+1,resign,3
25+9,draw,1
6+20,outoftime,1
7+6,outoftime,1
4+12,mate,1
17+8,resign,2
60+5,mate,1
40+8,resign,1
21+0,resign,1
5+20,draw,2
90+8,resign,1
11+3,resign,5
13+7,mate,1
9+7,mate,2
14+2,resign,3
20+13,draw,1
19+3,resign,1
60+15,resign,1
3+35,mate,1
7+11,outoftime,1
16+4,outoftime,1
14+14,resign,4
25+1,mate,1
180+8,draw,1
11+1,mate,1
2+12,mate,1
8+30,mate,1
8+2,outoftime,5
120+10,outoftime,3
120+10,resign,3
15+6,outoftime,2
150+0,mate,2
13+3,draw,1
8+6,draw,1
25+25,draw,2
25+25,mate,2
5+14,resign,2
10+25,mate,2
9+2,outoftime,1
40+40,draw,2
30+15,draw,2
15+30,outoftime,3
16+20,mate,5
16+20,draw,1
15+25,mate,1
120+180,mate,1
60+40,draw,1
30+10,outoftime,2
180+3,draw,1
9+4,mate,2
10+40,resign,2
30+40,resign,1
12+0,draw,1
3+30,mate,1
2+9,resign,2
45+4,resign,3
10+11,resign,2
7+18,resign,1
5+7,draw,2
35+2,resign,1
45+30,resign,2
8+11,outoftime,1
8+11,resign,2
9+0,draw,1
150+0,resign,2
5+12,draw,1
1+25,resign,1
12+15,resign,3
15+6,draw,1
7+11,resign,1
10+20,outoftime,1
1+18,mate,1
1+18,resign,3
2+40,resign,1
2+40,outoftime,1
12+3,outoftime,2
12+3,mate,1
20+90,resign,1
4+20,resign,1
0+15,mate,1
35+1,resign,1
4+7,outoftime,2
45+45,draw,13
7+30,resign,4
8+15,mate,1
40+8,mate,2
25+12,resign,1
7+9,draw,5
12+3,draw,2
1+20,outoftime,1
15+45,resign,1
60+7,resign,1
45+2,draw,1
25+8,mate,2
13+13,resign,1
40+10,draw,1
13+15,resign,1
4+6,outoftime,3
12+2,mate,1
14+1,mate,1
15+4,outoftime,2
25+6,resign,7
25+6,mate,1
8+6,outoftime,1
14+1,resign,2
10+30,outoftime,1
17+0,draw,1
16+3,outoftime,1
12+1,mate,1
0+13,resign,1
120+0,draw,1
8+9,mate,1
5+11,resign,1
9+5,draw,2
9+5,outoftime,4
60+1,resign,2
14+2,outoftime,1
19+2,mate,1
1+15,draw,1
11+9,outoftime,1
2+12,resign,2
20+2,draw,1
35+10,resign,2
19+18,mate,1
30+8,draw,1
120+5,resign,1
12+10,outoftime,2
11+5,outoftime,1
9+15,resign,2
9+15,mate,1
0+30,mate,1
9+10,mate,3
9+10,outoftime,2
9+8,outoftime,1
9+8,draw,1
7+9,outoftime,2
20+60,outoftime,1
2+20,resign,1
6+30,resign,1
35+35,mate,1
3+20,mate,1
25+8,draw,1
4+9,resign,1
12+7,draw,1
12+7,mate,3
10+14,mate,2
10+14,resign,1
20+15,outoftime,1
35+8,resign,1
13+40,resign,7
13+40,mate,3
150+0,outoftime,1
16+15,resign,2
14+4,resign,1
14+2,mate,1
10+9,outoftime,1
180+5,mate,1
60+180,resign,5
4+20,mate,1
35+1,mate,1
8+45,resign,1
14+15,mate,1
12+4,draw,2
8+1,draw,1
25+15,draw,1
